timestamp,channel_1,channel_2,channel_3,channel_4
1737030162712511.0,1.0,1.0,1.0,1.0
1737030162798475.0,1.0,1.0,1.0,1.0
1737030162905421.0,1.0,1.0,1.0,1.0
1737030163011508.0,1.0,1.0,1.0,1.0
1737030163096428.0,1.0,1.0,1.0,1.0
1737030163224500.0,1.0,1.0,1.0,1.0
1737030163332588.0,1.0,1.0,1.0,1.0
1737030163418337.0,1.0,1.0,1.0,1.0
1737030163524542.0,1.0,1.0,1.0,1.0
1737030163612593.0,1.0,1.0,1.0,1.0
1737030163697811.0,1.0,1.0,1.0,1.0
1737030163847486.0,1.0,1.0,1.0,1.0
1737030163933529.0,1.0,1.0,1.0,1.0
1737030164019528.0,1.0,1.0,1.0,1.0
1737030164127753.0,1.0,1.0,1.0,1.0
1737030164213720.0,1.0,1.0,1.0,1.0
1737030164301850.0,1.0,1.0,1.0,1.0
1737030164451291.0,1.0,1.0,1.0,1.0
1737030164558710.0,1.0,1.0,1.0,1.0
1737030164644125.0,1.0,1.0,1.0,1.0
1737030164731089.0,1.0,1.0,1.0,1.0
1737030164837398.0,1.0,1.0,1.0,1.0
1737030164922640.0,1.0,1.0,1.0,1.0
1737030165052391.0,1.0,1.0,1.0,1.0
1737030165159596.0,1.0,1.0,1.0,1.0
1737030165247365.0,1.0,1.0,1.0,1.0
1737030165353453.0,1.0,1.0,1.0,1.0
1737030165438452.0,1.0,1.0,1.0,1.0
1737030165524577.0,1.0,1.0,1.0,1.0
1737030165673524.0,1.0,1.0,1.0,1.0
1737030165759419.0,1.0,1.0,1.0,1.0
1737030165843505.0,1.0,1.0,1.0,1.0
1737030165973829.0,1.0,1.0,1.0,1.0
1737030166038906.0,1.0,1.0,1.0,1.0
1737030166144590.0,1.0,1.0,1.0,1.0
1737030166272485.0,1.0,1.0,1.0,1.0
1737030166379385.0,1.0,1.0,1.0,1.0
1737030166465579.0,1.0,1.0,1.0,1.0
1737030166551736.0,1.0,1.0,1.0,1.0
1737030166658371.0,1.0,1.0,1.0,1.0
1737030166744782.0,1.0,1.0,1.0,1.0
1737030166893570.0,1.0,1.0,1.0,1.0
1737030167000668.0,1.0,1.0,1.0,1.0
1737030167087069.0,1.0,1.0,1.0,1.0
1737030167171858.0,1.0,1.0,1.0,1.0
1737030167257942.0,1.0,1.0,1.0,1.0
1737030167365533.0,1.0,1.0,1.0,1.0
1737030167496676.0,1.0,1.0,1.0,1.0
1737030167604694.0,1.0,1.0,1.0,1.0
1737030167691774.0,1.0,1.0,1.0,1.0
1737030167778820.0,1.0,1.0,1.0,1.0
1737030167886771.0,1.0,1.0,1.0,1.0
1737030167973415.0,1.0,1.0,1.0,1.0
1737030168100608.0,1.0,1.0,1.0,1.0
1737030168210008.0,1.0,1.0,1.0,1.0
1737030168295846.0,1.0,1.0,1.0,1.0
1737030168380812.0,1.0,1.0,1.0,1.0
1737030168487875.0,1.0,1.0,1.0,1.0
1737030168574597.0,1.0,1.0,1.0,1.0
1737030168722938.0,1.0,1.0,1.0,1.0
1737030168808697.0,1.0,1.0,1.0,1.0
1737030168894728.0,1.0,1.0,1.0,1.0
1737030169003177.0,1.0,1.0,1.0,1.0
1737030169088894.0,1.0,1.0,1.0,1.0
1737030169176049.0,1.0,1.0,1.0,1.0
1737030169327011.0,1.0,1.0,1.0,1.0
1737030169414574.0,1.0,1.0,1.0,1.0
1737030169520770.0,1.0,1.0,1.0,1.0
1737030169606937.0,1.0,1.0,1.0,1.0
1737030169713107.0,1.0,1.0,1.0,1.0
1737030169798119.0,1.0,1.0,1.0,1.0
1737030169926966.0,1.0,1.0,1.0,1.0
1737030170032684.0,1.0,1.0,1.0,1.0
1737030170141234.0,1.0,1.0,1.0,1.0
1737030170228700.0,1.0,1.0,1.0,1.0
1737030170316405.0,1.0,1.0,1.0,1.0
1737030170423111.0,1.0,1.0,1.0,1.0
1737030170571877.0,1.0,1.0,1.0,1.0
1737030170637061.0,1.0,1.0,1.0,1.0
1737030170724515.0,1.0,1.0,1.0,1.0
1737030170830707.0,1.0,1.0,1.0,1.0
1737030170918932.0,1.0,1.0,1.0,1.0
1737030171004858.0,1.0,1.0,1.0,1.0
1737030171155645.0,1.0,1.0,1.0,1.0
1737030171264053.0,1.0,1.0,1.0,1.0
1737030171350054.0,1.0,1.0,1.0,1.0
1737030171436016.0,1.0,1.0,1.0,1.0
1737030171521299.0,1.0,1.0,1.0,1.0
1737030171628183.0,1.0,1.0,1.0,1.0
1737030171758269.0,1.0,1.0,1.0,1.0
1737030171843905.0,1.0,1.0,1.0,1.0
1737030171951910.0,1.0,1.0,1.0,1.0
1737030172059264.0,1.0,1.0,1.0,1.0
1737030172143947.0,1.0,1.0,1.0,1.0
1737030172230947.0,1.0,1.0,1.0,1.0
1737030172378930.0,1.0,1.0,1.0,1.0
1737030172463896.0,1.0,1.0,1.0,1.0
1737030172550157.0,1.0,1.0,1.0,1.0
1737030172657071.0,1.0,1.0,1.0,1.0
1737030172744094.0,1.0,1.0,1.0,1.0
1737030172852011.0,1.0,1.0,1.0,1.0
1737030172981080.0,1.0,1.0,1.0,1.0
1737030173089937.0,1.0,1.0,1.0,1.0
1737030173173960.0,1.0,1.0,1.0,1.0
1737030173260996.0,1.0,1.0,1.0,1.0
1737030173346224.0,2.0,1.0,1.0,2.0
1737030173451920.0,2.0,1.0,1.0,2.0
1737030173601813.0,2.0,1.0,1.0,2.0
1737030173687895.0,2.0,1.0,1.0,2.0
1737030173771958.0,2.0,1.0,1.0,2.0
1737030173878246.0,2.0,1.0,1.0,2.0
1737030173963027.0,2.0,1.0,1.0,2.0
1737030174069948.0,2.0,1.0,1.0,2.0
1737030174200411.0,2.0,1.0,1.0,2.0
1737030174307065.0,2.0,1.0,1.0,2.0
1737030174393896.0,2.0,1.0,1.0,2.0
1737030174478030.0,2.0,1.0,1.0,2.0
1737030174584052.0,2.0,1.0,1.0,2.0
1737030174668947.0,2.0,1.0,1.0,2.0
1737030174816840.0,2.0,1.0,1.0,2.0
1737030174933925.0,2.0,1.0,1.0,2.0
1737030174998009.0,2.0,1.0,1.0,2.0
1737030175083925.0,2.0,1.0,1.0,2.0
1737030175190101.0,2.0,1.0,1.0,2.0
1737030175277438.0,1.0,1.0,1.0,1.0
1737030175427042.0,1.0,1.0,1.0,1.0
1737030175513850.0,1.0,1.0,1.0,1.0
1737030175598221.0,1.0,1.0,1.0,1.0
1737030175706214.0,1.0,1.0,1.0,1.0
1737030175793256.0,1.0,1.0,1.0,1.0
1737030175900385.0,1.0,1.0,1.0,1.0
1737030176047071.0,1.0,1.0,1.0,1.0
1737030176133051.0,1.0,1.0,1.0,1.0
1737030176219246.0,1.0,1.0,1.0,1.0
1737030176305271.0,1.0,1.0,1.0,1.0
1737030176391227.0,1.0,1.0,1.0,1.0
1737030176500279.0,1.0,1.0,1.0,1.0
1737030176630898.0,1.0,1.0,1.0,1.0
1737030176740181.0,1.0,1.0,1.0,1.0
1737030176824282.0,1.0,1.0,1.0,1.0
1737030176930069.0,1.0,1.0,1.0,1.0
1737030177018211.0,1.0,1.0,1.0,1.0
1737030177105251.0,1.0,1.0,1.0,1.0
1737030177253448.0,1.0,1.0,1.0,1.0
1737030177338149.0,1.0,1.0,1.0,1.0
1737030177425000.0,1.0,1.0,1.0,1.0
1737030177534228.0,1.0,1.0,1.0,1.0
1737030177620158.0,1.0,1.0,1.0,1.0
1737030177727153.0,1.0,1.0,1.0,1.0
1737030177854051.0,1.0,1.0,1.0,1.0
1737030177960111.0,1.0,1.0,1.0,1.0
1737030178067619.0,1.0,1.0,1.0,1.0
1737030178131195.0,1.0,1.0,1.0,1.0
1737030178238315.0,1.0,1.0,1.0,1.0
1737030178324407.0,1.0,1.0,1.0,1.0
1737030178475665.0,1.0,1.0,1.0,1.0
1737030178561046.0,1.0,1.0,1.0,1.0
1737030178667913.0,1.0,1.0,1.0,1.0
1737030178753943.0,1.0,1.0,1.0,1.0
1737030178861998.0,1.0,1.0,1.0,1.0
1737030178947064.0,1.0,1.0,1.0,1.0
1737030179076465.0,1.0,1.0,1.0,1.0
1737030179183025.0,1.0,1.0,1.0,1.0
1737030179268030.0,1.0,1.0,1.0,1.0
1737030179352466.0,1.0,1.0,1.0,1.0
1737030179439727.0,1.0,1.0,1.0,1.0
1737030179547351.0,1.0,1.0,1.0,1.0
1737030179674114.0,1.0,1.0,1.0,1.0
