Channel_1,Channel_2,Channel_3,Channel_4
820.3663,799.41394,796.1905,809.0842
807.47253,795.78754,793.7729,801.4286
809.4872,794.9817,800.6227,801.4286
824.7985,797.3993,803.8461,803.8461
803.0403,797.3993,800.6227,784.90845
810.293,804.2491,796.99634,783.2967
807.47253,804.65204,796.99634,791.75824
812.71063,802.23444,794.17584,798.20514
828.022,801.4286,801.02563,800.2198
803.8461,797.3993,802.6374,794.57874
775.2381,790.54944,795.38464,794.17584
813.91943,794.57874,801.8315,805.4579
784.5055,791.3553,793.7729,779.2674
804.2491,792.1612,793.7729,775.2381
815.5311,796.1905,799.011,811.0989
803.0403,799.011,800.2198,793.7729
802.6374,797.8022,795.78754,769.59705
817.5458,795.78754,793.7729,796.1905
808.2784,791.3553,796.99634,822.7839
805.8608,794.57874,800.6227,789.7436
797.3993,796.99634,802.6374,785.31134
809.89014,795.38464,802.23444,805.05493
812.3077,795.38464,799.81683,779.2674
787.326,791.3553,798.60803,765.16486
805.4579,793.7729,794.9817,796.5934
807.47253,801.8315,792.1612,807.47253
803.0403,804.65204,801.02563,805.05493
817.1429,800.6227,805.05493,804.65204
800.6227,795.38464,798.20514,813.91943
792.5641,798.20514,801.4286,795.38464
797.3993,801.02563,803.44324,765.16486
786.9231,797.3993,800.6227,773.22345
805.05493,797.3993,802.6374,793.7729
822.381,801.4286,803.44324,798.60803
790.9524,798.20514,807.0696,795.78754
793.7729,799.41394,803.0403,797.8022
800.6227,802.6374,802.6374,806.6667
798.60803,802.23444,805.8608,801.8315
811.50183,800.2198,803.44324,787.72894
801.4286,796.1905,804.2491,796.1905
796.5934,807.47253,797.3993,775.2381
790.14655,800.6227,799.81683,791.75824
790.9524,805.4579,800.6227,778.46155
790.14655,799.41394,807.47253,810.293
805.4579,805.8608,809.89014,819.5604
803.44324,807.8755,800.6227,793.7729
781.28204,801.02563,798.60803,784.10254
795.78754,803.44324,801.02563,786.52014
823.1868,803.8461,809.0842,798.60803
799.41394,801.8315,810.696,818.3516
803.8461,804.65204,805.05493,819.15753
799.011,801.8315,805.8608,781.685
784.5055,798.20514,804.65204,796.99634
794.57874,800.6227,802.6374,809.0842
781.685,799.011,798.20514,786.52014
784.90845,799.81683,793.36993,792.96704
780.4762,801.4286,796.5934,806.6667
794.17584,799.011,803.44324,809.89014
813.5165,797.3993,801.8315,781.28204
791.3553,792.96704,798.20514,776.4469
778.0586,793.7729,794.9817,803.0403
779.67035,800.6227,798.20514,796.5934
796.99634,800.6227,806.26373,781.685
799.81683,803.44324,805.4579,792.96704
801.02563,801.4286,800.2198,783.69965
796.99634,802.23444,799.011,790.14655
793.36993,801.02563,801.02563,797.3993
784.5055,799.81683,801.4286,823.5897
792.5641,804.65204,799.41394,792.1612
785.7143,795.78754,794.17584,818.3516
782.49084,795.78754,790.14655,791.3553
799.41394,798.60803,801.4286,796.99634
803.0403,800.2198,802.23444,789.7436
780.4762,796.1905,796.1905,780.87915
777.25275,792.5641,798.60803,814.3223
776.4469,792.1612,801.4286,815.12823
782.8938,794.17584,799.011,768.7912
787.326,796.5934,794.9817,767.5824
757.9121,791.75824,803.8461,806.6667
769.19415,792.5641,802.6374,807.8755
738.5714,796.5934,804.65204,795.38464
759.5238,793.7729,809.89014,830.84247
766.77655,800.6227,807.0696,801.8315
805.8608,801.8315,805.05493,766.3736
782.49084,792.5641,811.0989,788.1319
765.16486,792.1612,805.8608,810.696
754.68866,794.17584,801.4286,796.99634
782.8938,803.8461,791.75824,796.5934
799.011,800.6227,795.38464,803.8461
791.3553,794.9817,800.2198,774.83514
772.4176,796.5934,801.8315,771.2088
784.90845,799.41394,799.011,759.12085
786.9231,793.7729,799.81683,778.0586
770,792.5641,803.8461,817.1429
786.1172,800.6227,802.6374,784.5055
776.8498,808.68134,796.5934,794.9817
789.34064,799.41394,801.8315,780.07324
789.34064,796.99634,797.3993,789.34064
778.86444,804.65204,794.9817,797.8022
792.5641,808.68134,789.7436,778.0586
794.9817,788.1319,794.9817,805.4579
794.57874,783.69965,803.0403,789.7436
801.8315,793.7729,792.5641,770
801.8315,803.44324,787.326,774.0293
792.1612,796.1905,799.011,776.4469
796.5934,791.75824,810.293,799.011
815.9341,795.38464,811.0989,828.4249
823.9927,795.38464,799.41394,808.68134
792.96704,802.23444,785.31134,782.0879
787.326,804.2491,789.34064,809.4872
814.7253,809.4872,797.8022,799.81683
822.7839,809.0842,792.96704,804.65204
800.6227,804.65204,803.8461,786.1172
800.6227,805.8608,796.99634,824.7985
798.20514,807.47253,800.2198,835.6777
803.0403,808.2784,798.60803,750.65936
815.9341,802.23444,796.99634,826.0073
802.23444,799.011,805.4579,782.8938
815.12823,803.0403,801.4286,809.89014
820.7692,804.2491,803.44324,773.22345
799.81683,801.8315,794.57874,757.9121
787.326,799.41394,797.3993,794.57874
798.20514,797.3993,810.293,805.8608
813.1135,803.8461,797.3993,808.68134
799.81683,800.6227,807.0696,809.0842
787.72894,799.011,803.0403,809.89014
788.93774,800.6227,799.81683,799.011
811.50183,801.02563,797.3993,757.9121
811.9048,800.2198,801.4286,728.0952
806.6667,801.8315,792.96704,761.53845
809.0842,807.8755,792.96704,813.1135
794.57874,801.02563,817.1429,849.7802
795.38464,799.011,807.47253,837.6923
797.8022,804.65204,800.2198,807.8755
792.1612,809.89014,785.7143,788.93774
778.86444,796.5934,804.65204,812.3077
793.7729,803.0403,796.1905,826.8132
